feature,mean_abs_shap,mean_signed_shap,rank
volume_change,0.017125655,-0.0002635711,1
close_to_sma50,0.014721002,0.0010462984,2
volume_ratio,0.013231219,0.00040078288,3
macd_diff,0.011496242,0.00060743873,4
bb_width,0.011292604,0.0001155851,5
daily_return,0.01124308,-0.00026931,6
volatility_10,0.008561282,0.00013656677,7
close_to_sma20,0.0048525473,-0.0007353982,8
rsi_14,0.003793594,-0.00021073582,9
macd,0.003788992,-0.00040298907,10
bb_position,0.0036740087,6.2100364e-05,11
rsi_from_70,0.0028479903,-1.3031791e-06,12
macd_signal,0.0021418124,-0.00013171694,13
rsi_from_30,0.0016361327,-0.00021284052,14
ticker_encoded,0.00076365564,5.32279e-06,15
